序号,年份,月份,套数,考试时间,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,完整答案
1,2016,6,1,2016年6月,D,A,D,B,A,B,C,C,B,A,C,A,D,D,B,D,B,A,C,B,D,D,A,A,C,DADBABCCBACADDBDBACBDDAAC
2,2016,6,2,2016年6月,A,B,C,D,A,B,B,C,C,D,B,A,D,A,C,A,B,C,D,D,C,D,B,D,A,ABCDABBCCDBADACABCDDCDBDA
3,2016,6,3,2016年6月,B,A,A,C,D,D,B,C,A,B,A,B,D,A,B,B,B,A,D,B,A,C,C,B,A,BAACDDBCABABDABBBADBACCBA
4,2016,12,1,2016年12月,B,A,D,A,C,B,A,B,D,C,C,C,D,D,A,C,B,D,C,B,A,C,D,A,B,BADACBABDCCCDDACBDCBACDAB
5,2016,12,2,2016年12月,C,C,A,B,C,A,D,A,C,D,B,B,D,A,B,D,B,C,B,D,C,A,A,D,D,CCABCADACDBBDABDBCBDCAADD
6,2017,6,1,2017年6月,B,B,A,C,D,C,A,D,C,D,C,B,C,D,A,B,D,A,D,C,C,A,B,B,A,BBACDCADCDCBCDABDADCCABBA
7,2017,6,2,2017年6月,A,D,A,D,C,D,C,A,B,D,C,B,D,B,C,B,A,A,D,B,C,A,C,D,B,ADADCDCABDCBDBCBAADBCACDB
8,2017,12,1,2017年12月,C,B,D,A,B,D,C,D,A,D,C,A,B,B,D,D,B,A,B,C,B,A,A,C,D,CBDABDCDADCABBDDBABCBAACD
9,2017,12,2,2017年12月,A,D,B,C,B,A,C,D,B,C,D,A,D,C,B,C,D,A,D,A,B,C,B,D,A,ADBCBACDBCDADCBCDADABCBDA
10,2018,6,1,2018年6月,B,A,D,C,B,A,D,D,C,A,C,B,C,A,B,D,A,B,D,C,A,C,A,D,B,BADCBADDCACBCABDABDCACADB
11,2018,6,2,2018年6月,D,A,A,C,D,B,C,B,C,B,A,B,C,D,B,C,D,A,A,C,D,A,B,D,C,DAACDBCBCBABCDBCDAACDABDC
12,2018,12,1,2018年12月,A,B,C,D,D,A,B,C,A,C,B,C,D,A,B,A,D,C,D,A,B,D,A,C,B,ABCDDABCACBCDABADCDABDACB
13,2018,12,2,2018年12月,C,A,B,A,D,B,D,C,B,A,C,D,B,D,C,A,B,A,C,C,D,A,B,D,C,CABADBDCBACDBDCABACCDABDC
14,2019,6,1,2019年6月,C,A,B,A,C,D,B,D,A,B,C,D,A,D,A,B,D,C,D,B,A,C,B,C,A,CABACDBDABCDADABDCDBACBCA
15,2019,6,2,2019年6月,D,B,A,D,A,C,B,D,C,B,A,C,A,D,B,A,D,C,B,A,B,C,D,C,B,DBADACBDCBACADBADCBABCDCB
16,2019,12,1,2019年12月,D,C,B,A,A,D,D,B,C,A,A,B,A,C,D,D,C,C,D,A,B,B,C,A,B,DCBAADDBCAABACDDCCDABBCAB
17,2019,12,2,2019年12月,A,B,A,C,D,B,C,B,C,D,D,A,B,C,A,D,A,B,D,A,C,C,B,D,C,ABACDBCBCDDABCADABDACCBDC
18,2020,7,1,2020年7月,A,D,B,C,B,D,A,C,A,D,B,A,D,C,B,A,D,C,D,B,A,C,D,B,B,ADBCBDACADBADCBADCDBACDBB
19,2020,9,1,2020年9月,A,D,A,B,B,C,D,C,A,B,D,A,D,C,B,A,D,C,B,D,A,B,C,A,C,ADABBCDCABDADCBADCBDABCAC
20,2020,12,1,2020年12月,B,B,A,D,C,D,C,A,C,D,A,A,D,B,C,B,A,C,D,B,C,A,D,A,D,BBADCDCACDAADBCBACDBCADAD
21,2020,12,2,2020年12月,B,A,C,B,D,D,C,A,C,D,B,B,D,A,A,C,D,C,D,D,A,C,D,B,B,BACBDDCACDBBDAACDCDDACDBB
22,2021,6,1,2021年6月,A,B,C,A,B,D,D,C,B,C,B,A,D,C,D,D,B,A,D,A,C,B,C,B,A,ABCABDDCBCBADCDDBADACBCBA
23,2021,6,2,2021年6月,D,D,B,C,A,B,C,B,D,A,C,B,A,B,C,D,C,B,D,A,D,A,B,C,A,DDBCABCBDACBABCDCBDADABCA
24,2021,12,1,2021年12月,A,C,B,C,D,D,D,A,D,C,B,C,A,B,A,C,D,B,B,D,B,C,A,C,A,ACBCDDDADCBCABACDBBDBCACA
25,2021,12,2,2021年12月,A,B,D,A,D,A,C,B,C,B,B,C,D,B,A,C,D,A,D,C,A,A,D,C,B,ABDADACBCBBCDBACDADCAADCB
26,2022,6,1,2022年6月,A,B,C,A,D,D,C,D,A,B,B,C,D,A,B,A,D,C,C,B,A,A,D,D,B,ABCADDCDABBCDABADCCBAADDB
27,2022,12,1,2022年12月,A,B,A,D,C,C,D,B,B,A,C,D,D,B,A,D,A,B,C,A,B,B,C,C,D,ABADCCDBBACDDBADABCABBCCD
28,2022,12,2,2022年12月,A,A,D,C,C,D,B,B,A,B,C,A,C,D,B,C,A,B,B,D,A,D,D,A,C,AADCCDBBABCACDBCABBDADDAC
29,2023,6,1,2023年6月,B,B,C,A,D,C,A,D,A,B,D,C,D,B,C,A,C,B,D,C,B,D,A,D,A,BBCADCADABDCDBCACBDCBDADA
30,2023,6,2,2023年6月,D,A,B,C,C,A,D,B,D,C,B,C,B,A,A,D,B,A,C,D,B,D,A,A,C,DABCCADBDCBCBAADBACDBDAAC
31,2023,12,1,2023年12月,B,C,A,D,A,C,D,B,D,A,C,B,A,D,C,A,D,C,A,D,B,B,A,C,B,BCADACDBDACBADCADCADBBACB
32,2023,12,2,2023年12月,A,D,A,C,C,B,B,C,D,B,A,C,D,A,B,B,D,A,C,D,A,D,C,B,A,ADACCBBCDBACDABBDACDADCBA
33,2024,6,1,2024年6月,A,B,D,A,D,C,D,A,A,D,B,B,C,D,C,D,A,C,C,B,C,B,B,A,D,ABDADCDAADBBCDCDACCBCBBAD
34,2024,6,2,2024年6月,B,A,C,C,A,B,A,D,A,B,B,D,C,C,D,A,C,B,A,B,D,D,A,D,C,BACCABADABBDCCDACBABDDADC
35,2024,12,1,2024年12月,D,D,B,C,A,A,B,C,D,B,D,C,B,A,A,C,B,D,A,D,B,C,C,D,A,DDBCAABCDBDCBAACBDADBCCDA
36,2024,12,2,2024年12月,A,C,A,B,D,C,D,B,A,B,B,D,C,C,A,D,C,B,A,C,B,A,D,D,A,ACABDCDBABBDCCADCBACBADDA
